Date,AAPL,MSFT,NVDA,SPY
2016-03-15,0.02009384944641668,0.007898765083595105,-0.004953535680035648,-0.0016292199463819879
2016-03-16,0.013291017122330162,0.014182092947623737,0.029869172089894258,0.005786779672518172
2016-03-17,-0.001604230093929293,0.005703702001971234,-0.008458971066339416,0.006344310807569586
2016-03-18,0.0011341423410726748,-0.02140485528461189,0.030164662529207353,0.003929517669588378
2016-03-21,-9.445779990446823e-05,0.006917152703705964,0.0029576443295504795,0.0014187574475126308
2016-03-22,0.0076481467624831545,0.003898666231782144,-0.001769497084142535,-0.0005371545928818389
2016-03-23,-0.005528549904241897,-0.0018492330249300082,0.017134356704923803,-0.006599572356957628
2016-03-24,-0.0043340804909958175,0.004446847571701662,0.0014521925278454528,-0.0004427357490739414
2016-03-28,-0.004542627801554788,-0.012359613373404965,0.010150889520692541,0.0005908991304939271
2016-03-29,0.023671606073961904,0.021853114080700342,0.016078047274615148,0.00924998453341952
2016-03-30,0.01745913040105007,0.0062147761203492635,0.010454719298640391,0.004387702905499724
2016-03-31,-0.005202830444302586,0.0032692519420436383,-0.0036352058967275003,-0.002427350326292599
2016-04-01,0.009175309351717509,0.006156264850793791,0.014594627026577767,0.006812421531393387
2016-04-04,0.010273788787612759,-0.002519027677785446,-0.009682088234428399,-0.003238172994906252
2016-04-05,-0.011789152785000923,-0.015695613012261855,-0.0013962798697113588,-0.009988021807552872
2016-04-06,0.01047239233220476,0.010263429779155286,0.001398232193175808,0.010921590023929673
2016-04-07,-0.021809648348043553,-0.011973483393378115,-0.01033519150321871,-0.011965895176981212
2016-04-08,0.0011056671766442872,-0.0007346985240352932,0.0064918866192476,0.0026963949560385725
2016-04-11,0.003312795545881597,-0.002020970355755436,0.006169047089074953,-0.0023473845331348775
2016-04-12,0.013025584352551078,0.006260149063408438,-0.0011146013042294678,0.009313128463001918
2016-04-13,0.014487457713300511,0.012809073924359149,0.02511157431228961,0.010100925755103463
2016-04-14,0.0005354132694395108,0.00018038830560551666,0.002721707781669247,4.813655557200924e-05
2016-04-15,-0.020071648236234085,0.005238461968582797,0.00787205069075081,-0.0011054514393127324
2016-04-18,-0.021574563156725346,0.01455520318987924,-0.004309490084985823,0.007026410978062447
2016-04-19,-0.005303440246814839,-0.0012398900431692672,-0.01785208815505812,0.0031545039229921024
2016-04-20,0.0020576468825559413,-0.014186752726385365,0.0038556093154225035,0.0009525655954434331
